Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Stream_Count,Merge_At,Validation_Loss,Pseudo_Perplexity,Mask_Accuracy,Tokens_Processed,Tokens_Per_Second,GPU_Hours,Token_Marker,Band,Timestamp
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.9965542893553856,20.01644707497953,0.4440080885483184,1502048939,298974.510335273,1.3955564837985568,,5.0,2026-07-27T20:07:31.928448Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.9965542893553856,20.01644707497953,0.4440080885483184,1502048939,298974.510335273,1.3955564837985568,,4.0,2026-07-27T20:07:31.939715Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.9965542893553856,20.01644707497953,0.4440080885483184,1502048939,298974.510335273,1.3955564837985568,,3.4,2026-07-27T20:07:31.943570Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.9965542893553856,20.01644707497953,0.4440080885483184,1502048939,298974.510335273,1.3955564837985568,,3.0,2026-07-27T20:07:31.947149Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.5866862060364992,13.285672594391952,0.5073541932737335,1627228643,298758.53168031666,1.5129541367292405,,2.7,2026-07-27T20:14:32.708765Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.352965392027068,10.516709697883366,0.5410600255427842,1814963769,298515.570268309,1.6888787477546268,,2.4,2026-07-27T20:25:06.009778Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.216206860694544,9.17247233071158,0.5633886760323542,2000057416,298281.4000330388,1.8625750864214368,2000000000,,2026-07-27T20:35:30.713868Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,2.1830836868123735,8.873627600249236,0.5673584504044275,2034127351,298137.4455422153,1.89521773841646,,2.2,2026-07-27T20:37:28.845493Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,1.719926180135143,5.584116230355245,0.6419327373350362,4000010170,297921.33602640516,3.7295547574096255,4000000000,,2026-07-27T22:27:31.840694Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,,1.480025543726064,4.393057894553015,0.6812686249467859,7000044769,297669.72270680725,6.532262880471017,7000000000,,2026-07-28T01:15:41.589931Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,3.1406568550769194,23.119047736237214,0.4242656449553001,1502048939,300614.1145522147,1.3879448641671075,,5.0,2026-07-28T02:39:02.136921Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,3.1406568550769194,23.119047736237214,0.4242656449553001,1502048939,300614.1145522147,1.3879448641671075,,4.0,2026-07-28T02:39:02.144049Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,3.1406568550769194,23.119047736237214,0.4242656449553001,1502048939,300614.1145522147,1.3879448641671075,,3.4,2026-07-28T02:39:02.147680Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.967567900507031,19.44457090996169,0.4493295019157088,1533373090,300427.39425451553,1.417770075533125,,3.0,2026-07-28T02:40:48.675764Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.6882121797823917,14.705361861804741,0.4910919540229885,1627228643,300419.1860102786,1.5045908431874382,,2.7,2026-07-28T02:46:01.242645Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.3959020573212877,10.978096466235066,0.5360578969774372,1814963769,300248.3520175638,1.6791319556368722,,2.4,2026-07-28T02:56:29.583447Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.2336519029405384,9.333890376667885,0.5611536824180502,2000057416,300053.5326273163,1.8515746159685982,2000000000,,2026-07-28T03:06:49.935703Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.191694966556164,8.95037084439391,0.5679225202213708,2065395661,299920.0185987315,1.9129133814573287,,2.2,2026-07-28T03:10:31.188233Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,1.7373464439005586,5.682245243074737,0.6382609621115368,4000010170,300068.66400722286,3.7028656084007685,4000000000,,2026-07-28T04:57:54.583279Z
